"","id","artistName","trackName","time","date","duration","msPlayed","percent_song","endTime"
"42","6J2LdBN97cDWn0MLxYh9HB","Noah Cyrus","July",17:10:00,2020-05-05,156106,156106,100,2020-05-05 17:10:00
"43","3SVSjlirwiGk5cepW66iBS","Lord Huron","Lonesome Dreams",17:14:00,2020-05-05,255573,255573,100,2020-05-05 17:14:00
"44","6dGnYIeXmHdcikdzNNDMm2","The Beatles","Here Comes The Sun - Remastered 2009",17:18:00,2020-05-05,185733,185733,100,2020-05-05 17:18:00
"45","6q7bXTv3yBedHblKRoC5uu","Prateek Kuhad","Kadam",17:21:00,2020-05-05,214603,214603,100,2020-05-05 17:21:00
"46","2LIh4uzqq9cXMPzzmcToHl","LP","Lost on You",07:03:00,2020-05-05,268105,266115,99,2020-05-05 07:03:00
"47","1gM7We9758ZTA17yRnCGhk","Ed Sheeran","I See Fire - From ""The Hobbit - The Desolation Of Smaug""",13:25:00,2020-05-05,300840,291077,97,2020-05-05 13:25:00
"48","50Emj7dvfU5NTCQsS7ECJ7","Raghav Chaitanya","Ek Tukda Dhoop (From ""Thappad"")",13:56:00,2020-05-05,325822,310678,95,2020-05-05 13:56:00
"49","6gTglnHm9CIGGRox5TtMd9","Lord Huron","In the Wind",07:08:00,2020-05-05,299360,280127,94,2020-05-05 07:08:00
"50","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",09:03:00,2020-05-05,218883,203706,93,2020-05-05 09:03:00
"51","6gdCb962lq0Xdg7ypVLuLt","Lord Huron","Harvest Moon - Recorded at Spotify Studios NYC",13:07:00,2020-05-05,346373,297121,86,2020-05-05 13:07:00
"52","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",09:00:00,2020-05-05,218883,146351,67,2020-05-05 09:00:00
"53","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",08:57:00,2020-05-05,218883,143750,66,2020-05-05 08:57:00
"54","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",17:04:00,2020-05-05,218883,144950,66,2020-05-05 17:04:00
"55","5Q58RkKyUafm15Syxg79DW","Amit Trivedi","Sham",16:19:00,2020-05-05,284626,187310,66,2020-05-05 16:19:00
"56","3ZFTkvIE7kyPt6Nu3PEa7V","Shakira","Hips Don't Lie (feat. Wyclef Jean)",09:53:00,2020-05-05,218093,130885,60,2020-05-05 09:53:00
"57","1MxHIIzcTeFnaNsDGY3pfj","Iron & Wine","Call It Dreaming",14:03:00,2020-05-05,231754,139409,60,2020-05-05 14:03:00
"58","0og9wKFGgFFNQnrBe7eisG","Shankar Mahadevan","Uff Teri Adaa",11:45:00,2020-05-05,304088,154325,51,2020-05-05 11:45:00
"59","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",11:12:00,2020-05-05,218883,89931,41,2020-05-05 11:12:00
"60","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",15:52:00,2020-05-05,218883,87081,40,2020-05-05 15:52:00
"61","435XaJ1Mqo5Pd7AwRE7nrF","Gregory Alan Isakov","Virginia May",16:32:00,2020-05-05,178346,68020,38,2020-05-05 16:32:00
"62","3fPgIknlkDWXs1l2noKZbp","Badshah","Kar Gayi Chull",16:15:00,2020-05-05,187710,56096,30,2020-05-05 16:15:00
"63","65vdMBskhx3akkG9vQlSH1","The Beatles","And I Love Her - Remastered 2009",11:34:00,2020-05-05,149693,39728,27,2020-05-05 11:34:00
"64","2zZTXtLqCsICzEcztKjn47","Neeraj Shridhar","Tum Hi Ho Bandhu (From ""Cocktail"")",16:05:00,2020-05-05,282012,73808,26,2020-05-05 16:05:00
"65","3XjsdEun6XcO2Gs4lJCueH","Lord Huron","The Stranger",13:16:00,2020-05-05,339331,83683,25,2020-05-05 13:16:00
"66","3bZPdEskcnMdepwCaDSJRl","Vishal-Shekhar","Bin Tere",17:23:00,2020-05-05,330360,82836,25,2020-05-05 17:23:00
"67","0pdKRp2sUthTPe7RLWpPqQ","flora cash","You're Somebody Else",14:15:00,2020-05-05,218883,13734,6,2020-05-05 14:15:00
"68","4u0RJ8g7QM5exHIPvJ0WW3","ERock","Jurassic Park Meets Metal",06:48:00,2020-05-05,244000,13830,6,2020-05-05 06:48:00
"69","3jtKSUiVDowKNBqVQbWaig","Amit Trivedi","Iktara",11:42:00,2020-05-05,253773,7536,3,2020-05-05 11:42:00
"70","3DamFFqW32WihKkTVlwTYQ","Owl City","Fireflies",14:03:00,2020-05-05,228346,5871,3,2020-05-05 14:03:00
"71","1vgVsR5rkXGP4NmUcoroJH","Salim Merchant","Aye Khuda",16:00:00,2020-05-05,280497,5094,2,2020-05-05 16:00:00
"72","1gEHNfJRSXpDVaEicwRRfe","Amit Trivedi","Zinda",06:28:00,2020-05-05,241962,1504,1,2020-05-05 06:28:00
"73","2xa9PoO42d7VjT0KqG5d3I","Iron & Wine","Each Coming Night",06:48:00,2020-05-05,207773,1800,1,2020-05-05 06:48:00
"74","1ai3itvPFcWilE9NX0JTCf","Falak Shabbir","Mera Mann Kehne Laga",08:57:00,2020-05-05,227334,1507,1,2020-05-05 08:57:00
"75","76TZCvJ8GitQ2FA1q5dKu0","Simon & Garfunkel","The Boxer",11:42:00,2020-05-05,308520,1752,1,2020-05-05 11:42:00
"76","6nZiYSBwPQ7fYnVWkkkj4g","Jasleen Royal","Kho Gaye Hum Kahan",11:42:00,2020-05-05,213055,2702,1,2020-05-05 11:42:00
"77","7E4sdzJDrVMu8qcwyxz3vP","Tanishk Bagchi","Sawarne Lage",11:42:00,2020-05-05,167000,2404,1,2020-05-05 11:42:00
"78","70eDxAyAraNTiD6lx2ZEnH","Elle King","Ex's & Oh's",13:07:00,2020-05-05,202173,2479,1,2020-05-05 13:07:00
"79","6byLrvbXmnUMdMWmSBgjKX","Gregory Alan Isakov","Caves",13:07:00,2020-05-05,289426,1751,1,2020-05-05 13:07:00
"80","2TxCwUlqaOH3TIyJqGgR91","ABBA","Mamma Mia",13:07:00,2020-05-05,213266,1189,1,2020-05-05 13:07:00
"81","43GfQ1SC17rBWiHkOtdwK8","Atif Aslam","Jab Koi Baat - Recreated",13:07:00,2020-05-05,192228,2432,1,2020-05-05 13:07:00
